Measure,region_from,region_to,Measure_Type,value,Base_Region
di_kozachenko,lateraloccipital,cuneus,Bivariate,2.248356537543673,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,cuneus,Bivariate,6.700487608664512e-06,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,cuneus,Bivariate,-0.003730468256618602,
ce_kozachenko,lateraloccipital,cuneus,Bivariate,1.4269727672749757,
cce_kozachenko,lateraloccipital,cuneus,Bivariate,4.531804753966917,
entropy_kozachenko,supramarginal,supramarginal,Univariate,1.410155795326646,supramarginal
AIS_kraskov,supramarginal,supramarginal,Univariate,0.07899255239954428,supramarginal
je_kozachenko,lateraloccipital,supramarginal,Bivariate,2.8770914016348494,
si_kozachenko_k-1,lateraloccipital,supramarginal,Bivariate,0.05559779277260413,
mi_kraskov_NN-4,lateraloccipital,supramarginal,Bivariate,-0.01080063026203959,
tlmi_kraskov_NN-4,lateraloccipital,supramarginal,Bivariate,-0.010806622870944693,
di_kozachenko,lateraloccipital,supramarginal,Bivariate,2.284328597390166,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,supramarginal,Bivariate,7.509213529442667e-05,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,supramarginal,Bivariate,-0.009920787389346764,
ce_kozachenko,lateraloccipital,supramarginal,Bivariate,1.4683452615522659,
cce_kozachenko,lateraloccipital,supramarginal,Bivariate,4.5348133691191865,
entropy_kozachenko,posteriorcingulate,posteriorcingulate,Univariate,1.4001998782324758,posteriorcingulate
AIS_kraskov,posteriorcingulate,posteriorcingulate,Univariate,0.02628926707518353,posteriorcingulate
je_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.8651799681446106,
si_kozachenko_k-1,lateraloccipital,posteriorcingulate,Bivariate,0.08894006213971517,
mi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,-0.016268451944737805,
tlmi_kraskov_NN-4,lateraloccipital,posteriorcingulate,Bivariate,0.008924814970752593,
di_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,2.3154947714831584,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.0001252462029826579,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,posteriorcingulate,Bivariate,0.0065949425437350495,
ce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,1.4563735620061746,
cce_kozachenko,lateraloccipital,posteriorcingulate,Bivariate,4.629714971899125,
entropy_kozachenko,caudalanteriorcingulate,caudalanteriorcingulate,Univariate,1.4173266125042518,caudalanteriorcingulate
AIS_kraskov,caudalanteriorcingulate,caudalanteriorcingulate,Univariate,0.0723031914056591,caudalanteriorcingulate
je_kozachenko,lateraloccipital,caudalanteriorcingulate,Bivariate,2.8317639844880147,
si_kozachenko_k-1,lateraloccipital,caudalanteriorcingulate,Bivariate,0.017764485523600104,
