Region_Index,Measure_Type,Measure,Value,Subject_ID,Run_Number,Region
90,Univariate,AIS,0.2703441227402026,100610,0,7networks_LH_DorsAttn_SPL_2
91,Univariate,Entropy,1.3998597715142953,100610,0,7networks_LH_DorsAttn_SPL_3
91,Univariate,AIS,0.3328533783538008,100610,0,7networks_LH_DorsAttn_SPL_3
92,Univariate,Entropy,1.4020242348243217,100610,0,7networks_LH_DorsAttn_SPL_4
92,Univariate,AIS,0.5297060937274667,100610,0,7networks_LH_DorsAttn_SPL_4
93,Univariate,Entropy,1.411114105820329,100610,0,7networks_LH_DorsAttn_TempOcc_1
93,Univariate,AIS,0.5783340665773418,100610,0,7networks_LH_DorsAttn_TempOcc_1
94,Univariate,Entropy,1.4401347330521475,100610,0,7networks_LH_DorsAttn_TempOcc_2
94,Univariate,AIS,0.43411780957323476,100610,0,7networks_LH_DorsAttn_TempOcc_2
95,Univariate,Entropy,1.4243284516486652,100610,0,7networks_LH_DorsAttn_TempOcc_3
95,Univariate,AIS,0.297728784711361,100610,0,7networks_LH_DorsAttn_TempOcc_3
96,Univariate,Entropy,1.3316299709786525,100610,0,7networks_LH_DorsAttn_TempOcc_4
96,Univariate,AIS,0.46773152283079167,100610,0,7networks_LH_DorsAttn_TempOcc_4
97,Univariate,Entropy,1.4381487523639258,100610,0,7networks_LH_DorsAttn_pCun
97,Univariate,AIS,0.35018132932069523,100610,0,7networks_LH_DorsAttn_pCun
98,Univariate,Entropy,1.4722223119479345,100610,0,7networks_LH_SomMot_1
98,Univariate,AIS,0.5779838600142098,100610,0,7networks_LH_SomMot_1
99,Univariate,Entropy,1.2996978349741868,100610,0,7networks_LH_SomMot_10
99,Univariate,AIS,0.22571600017222604,100610,0,7networks_LH_SomMot_10
100,Univariate,Entropy,1.4722315297865025,100610,0,7networks_LH_SomMot_11
100,Univariate,AIS,0.35821325643271784,100610,0,7networks_LH_SomMot_11
101,Univariate,Entropy,1.385321438275005,100610,0,7networks_LH_SomMot_12
101,Univariate,AIS,0.43453292792880216,100610,0,7networks_LH_SomMot_12
102,Univariate,Entropy,1.332202165470787,100610,0,7networks_LH_SomMot_13
102,Univariate,AIS,0.4886007212450165,100610,0,7networks_LH_SomMot_13
103,Univariate,Entropy,1.3912824093344112,100610,0,7networks_LH_SomMot_14
103,Univariate,AIS,0.2836135007303886,100610,0,7networks_LH_SomMot_14
104,Univariate,Entropy,1.3565918193228717,100610,0,7networks_LH_SomMot_15
104,Univariate,AIS,0.3713414663003629,100610,0,7networks_LH_SomMot_15
105,Univariate,Entropy,1.3674907885914225,100610,0,7networks_LH_SomMot_16
105,Univariate,AIS,0.49201260487467646,100610,0,7networks_LH_SomMot_16
106,Univariate,Entropy,1.4644413257013786,100610,0,7networks_LH_SomMot_17
106,Univariate,AIS,0.4825348297005654,100610,0,7networks_LH_SomMot_17
107,Univariate,Entropy,1.462014760476631,100610,0,7networks_LH_SomMot_18
107,Univariate,AIS,0.3071504477541307,100610,0,7networks_LH_SomMot_18
108,Univariate,Entropy,1.4924165760892292,100610,0,7networks_LH_SomMot_19
108,Univariate,AIS,0.10372958003680832,100610,0,7networks_LH_SomMot_19
109,Univariate,Entropy,1.388820122877175,100610,0,7networks_LH_SomMot_2
109,Univariate,AIS,0.05925089045963361,100610,0,7networks_LH_SomMot_2
110,Univariate,Entropy,1.4054559252708083,100610,0,7networks_LH_SomMot_20
110,Univariate,AIS,0.21505760269797225,100610,0,7networks_LH_SomMot_20
111,Univariate,Entropy,1.3179747412813976,100610,0,7networks_LH_SomMot_21
111,Univariate,AIS,0.1192501055633981,100610,0,7networks_LH_SomMot_21
112,Univariate,Entropy,1.4350063564766682,100610,0,7networks_LH_SomMot_22
112,Univariate,AIS,0.1617002212821621,100610,0,7networks_LH_SomMot_22
113,Univariate,Entropy,1.3735995487764434,100610,0,7networks_LH_SomMot_3
113,Univariate,AIS,0.19920310222967696,100610,0,7networks_LH_SomMot_3
114,Univariate,Entropy,1.4121491183602624,100610,0,7networks_LH_SomMot_4
114,Univariate,AIS,0.1877634595162645,100610,0,7networks_LH_SomMot_4
115,Univariate,Entropy,1.3779117158618996,100610,0,7networks_LH_SomMot_5
115,Univariate,AIS,0.4677964038280056,100610,0,7networks_LH_SomMot_5
116,Univariate,Entropy,1.422931905906485,100610,0,7networks_LH_SomMot_6
116,Univariate,AIS,0.28149707435488747,100610,0,7networks_LH_SomMot_6
117,Univariate,Entropy,1.3311171265654957,100610,0,7networks_LH_SomMot_7
117,Univariate,AIS,0.3688902881392453,100610,0,7networks_LH_SomMot_7
118,Univariate,Entropy,1.3961570285338452,100610,0,7networks_LH_SomMot_8
118,Univariate,AIS,0.48709317606916613,100610,0,7networks_LH_SomMot_8
119,Univariate,Entropy,1.4038071180376805,100610,0,7networks_LH_SomMot_9
119,Univariate,AIS,0.23647098385198895,100610,0,7networks_LH_SomMot_9
120,Univariate,Entropy,1.3268439167956414,100610,0,7networks_LH_SomMot_IPL
120,Univariate,AIS,0.3491044642240926,100610,0,7networks_LH_SomMot_IPL
121,Univariate,Entropy,1.3697623844616986,100610,0,7networks_LH_SomMot_Ins_1
121,Univariate,AIS,0.47565905959876265,100610,0,7networks_LH_SomMot_Ins_1
122,Univariate,Entropy,1.4462050627312832,100610,0,7networks_LH_SomMot_Ins_2
122,Univariate,AIS,0.23965145144118782,100610,0,7networks_LH_SomMot_Ins_2
123,Univariate,Entropy,1.4606514969594722,100610,0,7networks_LH_SomMot_Ins_3
123,Univariate,AIS,0.19648388701718833,100610,0,7networks_LH_SomMot_Ins_3
124,Univariate,Entropy,1.4934015522192334,100610,0,7networks_LH_SomMot_Ins_4
124,Univariate,AIS,0.27598905231730164,100610,0,7networks_LH_SomMot_Ins_4
125,Univariate,Entropy,1.4017695486370654,100610,0,7networks_LH_SomMot_ST_1
125,Univariate,AIS,0.38016034540635424,100610,0,7networks_LH_SomMot_ST_1
126,Univariate,Entropy,1.446649800114785,100610,0,7networks_LH_SomMot_ST_2
126,Univariate,AIS,0.38898617375545275,100610,0,7networks_LH_SomMot_ST_2
127,Univariate,Entropy,1.3561449585758156,100610,0,7networks_LH_SomMot_ST_3
127,Univariate,AIS,0.17792809165262646,100610,0,7networks_LH_SomMot_ST_3
128,Univariate,Entropy,1.429448298381045,100610,0,7networks_LH_SomMot_Temp
128,Univariate,AIS,0.27226169947884316,100610,0,7networks_LH_SomMot_Temp
129,Univariate,Entropy,1.4985351983517337,100610,0,7networks_LH_Vis_ExStrInf_1
129,Univariate,AIS,0.31788149144828015,100610,0,7networks_LH_Vis_ExStrInf_1
130,Univariate,Entropy,1.3945657103057396,100610,0,7networks_LH_Vis_ExStrInf_2
130,Univariate,AIS,0.28232090028351653,100610,0,7networks_LH_Vis_ExStrInf_2
131,Univariate,Entropy,1.4192122553330009,100610,0,7networks_LH_Vis_ExStrInf_3
131,Univariate,AIS,0.4337610062587727,100610,0,7networks_LH_Vis_ExStrInf_3
132,Univariate,Entropy,1.411959698737416,100610,0,7networks_LH_Vis_ExStrInf_4
132,Univariate,AIS,0.0429157874096342,100610,0,7networks_LH_Vis_ExStrInf_4
133,Univariate,Entropy,1.4122048021372207,100610,0,7networks_LH_Vis_ExStrSup_1
133,Univariate,AIS,0.23806814652663277,100610,0,7networks_LH_Vis_ExStrSup_1
134,Univariate,Entropy,1.4359536883800699,100610,0,7networks_LH_Vis_ExStrSup_2
134,Univariate,AIS,0.47225808990879603,100610,0,7networks_LH_Vis_ExStrSup_2
135,Univariate,Entropy,1.3718641787719923,100610,0,7networks_LH_Vis_ExStr_1
135,Univariate,AIS,0.4413011737106567,100610,0,7networks_LH_Vis_ExStr_1
136,Univariate,Entropy,1.492090479836789,100610,0,7networks_LH_Vis_ExStr_10
136,Univariate,AIS,0.3486026555945738,100610,0,7networks_LH_Vis_ExStr_10
137,Univariate,Entropy,1.3886368254047534,100610,0,7networks_LH_Vis_ExStr_11
137,Univariate,AIS,0.48575951305407905,100610,0,7networks_LH_Vis_ExStr_11
138,Univariate,Entropy,1.3855874124884897,100610,0,7networks_LH_Vis_ExStr_2
138,Univariate,AIS,0.5008504924710246,100610,0,7networks_LH_Vis_ExStr_2
139,Univariate,Entropy,1.4825654419090588,100610,0,7networks_LH_Vis_ExStr_3
139,Univariate,AIS,0.48880059897351025,100610,0,7networks_LH_Vis_ExStr_3
140,Univariate,Entropy,1.450470968743355,100610,0,7networks_LH_Vis_ExStr_4
140,Univariate,AIS,0.2962456919045007,100610,0,7networks_LH_Vis_ExStr_4
141,Univariate,Entropy,1.4965311697011519,100610,0,7networks_LH_Vis_ExStr_5
141,Univariate,AIS,0.5461371659246614,100610,0,7networks_LH_Vis_ExStr_5
142,Univariate,Entropy,1.4492511321708976,100610,0,7networks_LH_Vis_ExStr_6
142,Univariate,AIS,0.5677774646934628,100610,0,7networks_LH_Vis_ExStr_6
143,Univariate,Entropy,1.391835219196679,100610,0,7networks_LH_Vis_ExStr_7
143,Univariate,AIS,0.31254101094199793,100610,0,7networks_LH_Vis_ExStr_7
144,Univariate,Entropy,1.4945011009856257,100610,0,7networks_LH_Vis_ExStr_8
144,Univariate,AIS,0.346969415238779,100610,0,7networks_LH_Vis_ExStr_8
145,Univariate,Entropy,1.4615802701234406,100610,0,7networks_LH_Vis_ExStr_9
145,Univariate,AIS,0.3725303850852102,100610,0,7networks_LH_Vis_ExStr_9
146,Univariate,Entropy,1.434056246524337,100610,0,7networks_LH_Vis_PHC
146,Univariate,AIS,0.3538409028212186,100610,0,7networks_LH_Vis_PHC
147,Univariate,Entropy,1.4833567664989085,100610,0,7networks_LH_Vis_Striate_1
147,Univariate,AIS,0.35195360587770885,100610,0,7networks_LH_Vis_Striate_1
148,Univariate,Entropy,1.3817169323261531,100610,0,7networks_LH_Vis_Striate_2
148,Univariate,AIS,0.1795752594559632,100610,0,7networks_LH_Vis_Striate_2
149,Univariate,Entropy,1.5000041690549377,100610,0,7networks_LH_Vis_Striate_3
149,Univariate,AIS,0.4570604707690036,100610,0,7networks_LH_Vis_Striate_3
150,Univariate,Entropy,1.4812826457698804,100610,0,7networks_RH_Default_FPole_1
150,Univariate,AIS,0.19321227573163835,100610,0,7networks_RH_Default_FPole_1
151,Univariate,Entropy,1.4066727442422886,100610,0,7networks_RH_Default_FPole_2
151,Univariate,AIS,0.30850104836647674,100610,0,7networks_RH_Default_FPole_2
152,Univariate,Entropy,1.4830962260248626,100610,0,7networks_RH_Default_IPL_1
152,Univariate,AIS,0.2716117413089849,100610,0,7networks_RH_Default_IPL_1
153,Univariate,Entropy,1.3841709298228952,100610,0,7networks_RH_Default_IPL_2
153,Univariate,AIS,0.29835681338712394,100610,0,7networks_RH_Default_IPL_2
154,Univariate,Entropy,1.4178048758438662,100610,0,7networks_RH_Default_IPL_3
154,Univariate,AIS,0.574081181211505,100610,0,7networks_RH_Default_IPL_3
155,Univariate,Entropy,1.4339433415134355,100610,0,7networks_RH_Default_IPL_4
155,Univariate,AIS,0.5203967235837386,100610,0,7networks_RH_Default_IPL_4
156,Univariate,Entropy,1.4469358066214832,100610,0,7networks_RH_SalVentAttn_IPL_4
156,Univariate,AIS,0.10166042360910499,100610,0,7networks_RH_SalVentAttn_IPL_4
157,Univariate,Entropy,1.479339617317203,100610,0,7networks_RH_Default_PCC_1
157,Univariate,AIS,0.0016445284023660633,100610,0,7networks_RH_Default_PCC_1
158,Univariate,Entropy,1.370118154835601,100610,0,7networks_RH_Default_PCC_2
158,Univariate,AIS,0.3414657837937636,100610,0,7networks_RH_Default_PCC_2
159,Univariate,Entropy,1.348410217729512,100610,0,7networks_RH_Default_PCC_3
159,Univariate,AIS,0.35909538364688576,100610,0,7networks_RH_Default_PCC_3
160,Univariate,Entropy,1.4334116367382022,100610,0,7networks_RH_Default_PFCd_1
160,Univariate,AIS,0.609550049844751,100610,0,7networks_RH_Default_PFCd_1
161,Univariate,Entropy,1.4961889948832452,100610,0,7networks_RH_Default_PFCd_2
